code,name,type,manager,company
001400,安信鑫安得利混合C,混合型,庄园,安信基金
001401,德邦如意货币,货币型,张铮烁,德邦基金
001402,信诚新选混合A,混合型,提云涛,信诚基金
001403,招商国企改革主题混合基金,混合型,李亚,招商基金
001404,招商移动互联网产业股票基金,股票型,钟赟,招商基金
001405,东方红策略精选混合A,混合型,饶刚,上海东方证券资产管理
001406,东方红策略精选混合C,混合型,饶刚,上海东方证券资产管理
001407,景顺长城稳健回报混合C,混合型,万梦,景顺长城基金
001408,建信鑫丰回报灵活配置混合A,混合型,牛兴华,建信基金
001409,工银互联网加股票,股票型,单文,工银瑞信基金
001410,信达澳银新能源产业股票,股票型,冯明远,信达澳银基金
001411,诺安创新驱动混合A,混合型,吴博俊,诺安基金
001412,德邦鑫星价值灵活配置混合A,混合型,许文波,德邦基金
001413,中融新动力混合A,混合型,姜涛,中融基金
001414,中融新动力混合C,混合型,姜涛,中融基金
001415,信诚新锐混合A,混合型,杨立春,信诚基金
001416,嘉实事件驱动股票,股票型,张自力,嘉实基金
001417,汇添富医疗服务混合,混合型,刘江,汇添富基金
001418,泰达宏利创益混合A,混合型,傅浩,泰达宏利基金
001419,泰达宏利新思路混合A,混合型,傅浩,泰达宏利基金
001420,南方大数据300A,股票指数,雷俊,南方基金
001421,南方量化成长,股票型,雷俊,南方基金
001422,景顺长城安享回报混合A,混合型,万梦,景顺长城基金
001423,景顺长城安享回报混合C,混合型,万梦,景顺长城基金
001424,博时新起点混合A,混合型,过钧,博时基金
001425,博时新起点混合C,混合型,过钧,博时基金
001426,南方大数据300C,股票指数,雷俊,南方基金
001427,招商丰泽混合A,混合型,王刚,招商基金
001428,工银保本混合B,基金规模,工银瑞信基金,基金评级
001429,博时新财富混合A,混合型,王申,博时基金
001430,中邮乐享收益灵活配置混合,混合型,吴昊,中邮基金
001431,方正富邦优选灵活配置混合A,混合型,王健,方正富邦基金
001433,易方达瑞景混合,混合型,张清华,易方达基金
001437,易方达瑞享混合I,混合型,梁裕宁,易方达基金
001438,易方达瑞享混合E,混合型,梁裕宁,易方达基金
001443,易方达瑞选灵活配置混合I,混合型,张清华,易方达基金
001444,易方达瑞选灵活配置混合E,混合型,张清华,易方达基金
001445,华安国企改革主题灵活配置混合,混合型,王嘉,华安基金
001446,招商丰泽混合C,混合型,王刚,招商基金
001447,天弘惠利混合,混合型,钱文成,天弘基金
001448,华商双翼平衡混合,混合型,梁伟泓,华商基金
001449,华商双驱优选混合,混合型,李双全,华商基金
001450,东方稳定增利债券A,债券型,周薇,东方基金
001451,东方稳定增利债券C,债券型,周薇,东方基金
001453,鹏华弘鑫混合A,混合型,李韵怡,鹏华基金
001454,鹏华弘鑫混合C,混合型,李韵怡,鹏华基金
001455,景顺长城中证500ETF联,联接基金,徐喻军,景顺长城基金
001456,华泰柏瑞制造2025混合A,混合型,李灿,华泰柏瑞基金
001457,华商新常态混合,混合型,高兵,华商基金
001458,广发中证全指主要消费联接A,联接基金,陆志明,广发基金
